suara_presma_sah,alasan_suara_presma_tidak_sah,suara_dpm_sah,alasan_suara_dpm_tidak_sah,waktu,dalam_waktu_pemungutan,nim_email_hashed,jenis_email,input_fakultas,fakultas_tercatat,terdaftar,fakultas_benar,dapil_sesuai,pilihan_presma,pilihan_dpm_fh,pilihan_dpm_feb,pilihan_dpm_fp,pilihan_dpm_ft,pilihan_dpm_fisib,pilihan_dpm_fkis
true,,true,,2020-12-18 08:20:23 +0700 +07,true,30208da75dc896e00f2957a04a0f3d68,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 1
true,,true,,2020-12-18 08:20:28 +0700 +07,true,596d7d5819b07e5899877c5973e719a8,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:20:31 +0700 +07,true,59eb55b98431a593e21dd68b515ffc1f,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 08:20:36 +0700 +07,true,e8998861772bf2e2ff5d5ed369b2b4ba,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:20:37 +0700 +07,true,8a5b9e12ee9317f9a7f410059aff163e,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:20:37 +0700 +07,true,bd96cb9349b5f074f1a9c89e39681f0b,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:20:39 +0700 +07,true,40f216a9488880734c7f1fb12861ce57,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 08:20:42 +0700 +07,true,6a0b43a1e4ecaba03d25580d8c85aae7,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 2,,,,
true,,true,,2020-12-18 08:20:45 +0700 +07,true,dbf3bb11c1a845073d0da1737126ca82,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:20:50 +0700 +07,true,476230f0f7b882652af22dae90f56f6e,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:20:50 +0700 +07,true,2ebb67c0c49ebd652bd1a61d189ed311,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 3,,,,
true,,true,,2020-12-18 08:20:51 +0700 +07,true,bada647b50bbf281303810185f7c5a82,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:20:53 +0700 +07,true,4d1780e0ba779b890297dd6d94f67a27,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 08:20:56 +0700 +07,true,7c4b403f2e0600f1b553be93089db978,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 5,,,,
